country,start_year,regime,end_year
Afghanistan,1800,A,NA
Afghanistan,1992,I,NA
Albania,1914,A,NA
Albania,1915,I,NA
Albania,1925,A,NA
Albania,1939,I,NA
Albania,1945,I,NA
Albania,1946,A,NA
Albania,1992,D,NA
Algeria,1963,A,NA
Angola,1975,A,NA
Argentina,1825,A,NA
Argentina,1830,I,NA
Argentina,1835,A,NA
Argentina,1852,I,NA
Argentina,1853,A,NA
Argentina,1946,I,NA
Argentina,1948,A,NA
Argentina,1955,I,NA
Argentina,1957,A,NA
Argentina,1973,D,NA
Argentina,1976,A,NA
Argentina,1983,D,NA
Armenia,1991,D,NA
Australia,1901,A,NA
Australia,1902,D,NA
Austria,1800,A,NA
Austria,1805,I,NA
Austria,1806,A,NA
Austria,1809,I,NA
Austria,1810,A,NA
Austria,1818,I,NA
Austria,1920,D,NA
Austria,1933,I,NA
Austria,1934,A,NA
Austria,1938,I,NA
Austria,1945,I,NA
Austria,1946,D,NA
Azerbaijan,1991,A,NA
Baden,1818,A,1871
Bahrain,1971,A,NA
Bangladesh,1972,D,NA
Bangladesh,1974,A,NA
Bangladesh,1991,D,NA
Bavaria,1800,A,1871
Belarus,1991,D,NA
Belgium,1831,A,NA
Belgium,1914,I,NA
Belgium,1915,A,NA
Belgium,1940,I,NA
Belgium,1945,A,NA
Belgium,1949,D,NA
Benin,1960,A,NA
Benin,1963,I,NA
Benin,1965,A,NA
Benin,1990,I,NA
Benin,1991,D,NA
Bhutan,1907,A,NA
Bolivia,1826,A,NA
Bolivia,1841,I,NA
Bolivia,1842,A,NA
Bolivia,1871,I,NA
Bolivia,1873,A,NA
Bolivia,1952,I,NA
Bolivia,1956,A,NA
Bolivia,1982,D,NA
Bosnia,1992,I,NA
Botswana,1966,A,NA
Botswana,1969,D,NA
Brazil,1824,A,NA
Brazil,1930,I,NA
Brazil,1934,A,NA
Brazil,1945,I,NA
Brazil,1946,A,NA
Brazil,1964,I,NA
Brazil,1965,A,NA
Brazil,1985,D,NA
Bulgaria,1879,A,NA
Bulgaria,1913,I,NA
Bulgaria,1915,A,NA
Bulgaria,1942,I,NA
Bulgaria,1944,I,NA
Bulgaria,1947,A,NA
Bulgaria,1990,D,NA
Burkina Faso,1960,A,NA
Burkina Faso,1977,I,NA
Burkina Faso,1978,D,NA
