gwf_case	start_event	end_event
Afghanistan (1929-73)	"Start: 10/10/1929 Tribal forces led by Nadir Khan and his brothers seized Kabul after defeating the insurgent who had ousted the previous hereditary monarch, a distant relative of Nadir. The dynasty began October 16, 1929 when Nadir Khan was crowned (Baxter 1997; Herb 1997, 284)."	"End: 7/17/1973 Coup deposed the monarch (Baxter 1997; Encyclopedia of World Biography 2011)."
Afghanistan (1973-78)	"Start: 7/17/1973 Coup led by Mohammed Daoud Khan, with support from leftist junior officers and the Parcham faction of the PDPA (Communist Party), deposed the monarchy and replaced it with a new ruling group. Parcham's influence after the coup was limited from the beginning, and they were eliminated from the ruling group by the end of 1975 (Baxter 1997)."	"End: 4/27/1978 Coup by a faction of the army allied with the Communists ousted Daoud (Baxter 1997)."
Afghanistan (1978-92)	"Start: 4/27/1978 Coup by a faction of the army allied with the PDPA (Communists), established a ruling Revolutionary Council originally of 58 members, dominated by the Khalq faction of the PDPA (Baxter 1997; Newell 1997)."	"End: 4/16/1992 The fall of Kabul; Najibullah government ousted by the Mujaheddin insurgency (Rais 1993, 910; Ewans 2001, 178). [Afghanistan 1993-96 is excluded from the data set because of warlordism, chaos, no effective central government.]"
Afghanistan (1996-2001)	"Start: 9/27/1996 Taliban capture of Kabul; they established a government over most of the country (BBC News 1996)"	"End: 11/13/2001 U.S. invasion began on October 7 2001, with the defeat of Taliban government in Kabul on November 13 2001 (Economist Intelligence Unit 2008a, 8; U.S. State Department 2011a)."
Afghanistan (2009-)	"Start: 8/20/2009 Fraudulent presidential elections are identified as the event that marked the independence of the Karzai government from U.S. influence (Tristram 2009)"	"End: Karzai regime continued in power as of December 31, 2010."
Albania (1944-91)	"Start: 11/29/1944 occupation of Tirane by the National Liberation Movement (later Front) forces led by Hoxha, after the defeat of anti-communist resistance forces and the withdrawal of Italian and German occupying forces. The NLM had set up a provisional government, the Anti-Fascist Council of National Liberation, led by Hoxha, a few months before in the territories it controlled. The occupation of Tirane marks its control of most of the country (Sudetic 1992; Pearson 2006, 221)."	"End: 6/1/1991 Resignation of the Communist-dominated National Assembly in response to a popular uprising. Demonstrations and strikes led to the government's resignation, the transfer of power to a coalition government to handle the transition, and Alia's loss of all but formal power. The first multiparty elections occurred in March 1991, but were won by the Party of Labor (communists) and thus aren't coded as transitional. Beginning in May 1991, hundreds of thousands of citizens participated in strikes and demonstrations to demand that the communists step down. A transitional government led by the opposition established a new electoral law in February 1992 and oversaw competitive elections in March 1992, which were won by the opposition, completing the transition (Global Nonviolent Action Database 2011; Economist Intelligence Unit 1997; Global Security 2011b)."
Algeria (1962-92)	"Start: 7/3/1962 Independence with the FLN, which had led the fight for independence, in control; it established a provisional government, which quickly became permanent (Toth 1994; Political Handbook of the World 2012a, 24)."	"End: 1/11/1992 Military coup. Benjedid was replaced by the High Council of State, and the constitution was suspended (Metz 1994; Ruedy 2005, 256,260). Although the military had been an important pillar of the pre-1992 regime, the post-1992 period is considered a different regime because for the first several years after the coup the FLN, which had been the ruling party, was excluded from influence and office (Toth 1994; Bouandel 2003, 13; Ruedy 2005, 256,260)."
Algeria (1992-)	"Start: 1/11/1992 Military coup ousted Benjedid, closed the Assembly, suspended the constitution, and reformed the High Council of State to become the country's ruling body (Toth 1994; Ruedy 2005, 256,260)."	"End: Regime continued in power as of December 31, 2010."
Angola (1975-)	"Start: 11/11/1975 Independence, with Luanda and a substantial part of the country controlled by the MPLA, which had led the fight for independence; it established a government in the part of the country it controlled (Warner 1989)."	"End: Regime continued in power as of December 31, 2010."
Argentina (1943-1946)	"Start: 6/4/1943 Coup led by Gen Ramirez ousted the oligarchic civilian government and established a military junta (Potash 1961, 573)."	"End: 2/24/1946 Competitive election, generally considered to be fair, ended rule by the military (Lewis 1990, 98-99)."
Argentina (1951-55)	"Start: 9/28/1951 This date marks declaration of internal warfare by the elected Peronist government, which suspended constitutional guarantees and allowed detention without trial. The date marks when the incremental "authoritarianization" of the regime crossed the line to dictatorship. In the months preceding the November 1951 election, the government had pursued a strategy of harassment and manipulation against the opposition, but at the end of September, they began arresting opposition leaders and excluded opposition deputies from the legislature shortly afterward, completing the transition to dictatorship (Ilsley 1952, 229, 240; Potash 1980, 133; Brooker 1995, 175)."	"End: 9/16/1955 Coup ousted Peron (Potash 1961, 575; Brooker 1995, 181; Lewis 2001, 110-11)."
Argentina (1955-58)	"Start: 9/16/1955 Coup led by Gen Lonardi ousted the Peronist government and established a military junta (Potash 1961, 575; Lewis 2001, 110-11)."	"End: 2/23/1958 Election ended direct military rule. The election was competitive but the largest party, the PJ, was banned (O'Donnell 1973, 166-92; Potash 1980, 228)."
Argentina (1958-66)	"Start: 2/23/1958 The February election in which the largest party, the PJ, was banned marks the transition from direct to indirect military rule. A civilian was elected and occupied the presidency, but the military exercised active veto power over economic policy and the choice of ministers as well as prohibited the participation of the Peronist Party in elections (O'Donnell 1973, 166-92; Finer 1975, 153). Consequently we code the period from February 1958 to June 1966 as authoritarian and as indirect military rule."	"End: 6/28/1966 Coup ousted the civilian government, ending indirect military rule, and replaced it with direct military rule (Gallo 1969, 497-98, 501)."
Argentina (1966-73)	"Start: 6/28/1966 Coup led by Lt-Gen Pistarini, the commander-in-chief, ousted the civilian president and replaced indirect with direct military rule (Gallo 1969, 501; Potash 1996, 160-61)."	"End: 3/11/1973 The March 1973 presidential election was competitive, free and fair, and the Peronist party was allowed to run and win (Arceneaux 2001, 68; Lewis 2001, 149-51)."
Argentina (1976-83)	"Start: 3/24/1976 Coup led by Gen Videla ousted the democratic government and established a military junta to rule (U.S. State Department 2011b)."	"End: 10/30/1983 October election was competitive, free and fair, marking the transition to democracy (Rock 1995, 389; Arceneaux 2001, 114-40)."
Armenia (1994-98)	"Start: 12/31/1994 This is the date when the elected Ter-Petrosian government crossed the line between democracy and dictatorship. In December it suspended the largest opposition party (Dashnak, HHD) to prevent its participation in the July 1995 parliamentary election, and in subsequent months it disqualified multiple other parties and more than a third of the candidates (Bremmer and Welt 1997, 86-87; Political Handbook of the World 2012b, 66)."	"End: 2/4/1998 Ter-Petrosian and many other high officials of the HHSh resigned in response to massive public protests and loss of support by important political elites, leading to the accession to power of the Kocharian government Libaridian 2006, 9-10. Kocharian's government is coded as a different regime because of a change in the identity of the group from which top leaders could be selected. Ter-Petrosian's coalition originally included nearly all non-communist Armenians, though it narrowed over time. Since the accession of Kocharian, the leadership has been dominated by individuals from Nagorno Karabakh; the HHSh is no longer in government and scarcely exists (Middle East Journal 1998, 415-39; Usher 1999, 20)."
Armenia (1998-)	"Start: 2/4/1998 Accession to power by Kocharian and the Nagorno Karabakh faction after resignations by Ter-Petrosian and many other high officials of HHSh in response to massive public protests. Kocharian's government is coded as a different regime because of a change in the identity of the group from which top leaders could be selected. Ter-Petrosian's coalition originally included nearly all non-communist Armenians; it narrowed over time but always included people from multiple regions. Since the accession of Kocharian, the leadership has been dominated by individuals from Nagorno Karabakh (Middle East Journal 1998, 415-39; Usher 1999, 20; Libaridian 2006, 9-10; Economist Intelligence Unit 2008b)."	"End: Regime continued in power as of December 31, 2010."
Azerbaijan (1991-92)	"Start: 10/18/1991 Independence under the leadership of the Communist Party and Mutalibov (Nichol 1994; Political Handbook of the World 2012c, 90)."	"End: 5/15/1992 A popular uprising ousted Mutalibov, leading to control by the National Assembly, which contained about half communist successor deputies and half opposition (PFA) deputies. It scheduled a competitive election in June 1992, which was won by the PFA, completing the transition (Altstadt 1992, 107-09; Political Handbook of the World 2012c, 90)."
Azerbaijan (1993-)	"Start: 6/16/1993 This is the date the elected president fled the capital in the face of rebellion by a faction of the military; we code it as the date of the victory of the rebels over the elected government. The leader of the military rebellion agreed to allow a civilian, Aliyev, who had been "elected" speaker of parliament in order to facilitate a "constitutional" succession, to replace the ousted president, while the military leader became PM in the new government (Nichol 1994; Political Handbook of the World 2012c, 92)."	"End: Regime continued in power as of December 31, 2010."
Bangladesh (1971-75)	"Start: 12/16/1971 This is the date the war of independence ended, marking the beginning of the regime. At independence Bangladesh was controlled by the Awami League led by Sheik Mujib. Although the Awami League had been an electoral party in Pakistan before its breakup, the Mujib government never allowed opposition or held fair elections (Blood 1988; Political Handbook of the World 2012d, 107-08)"	"End: 8/15/1975 Coup by a faction of young officers, who were themselves ousted a few months later ((Blood 1988); Political Handbook of the World 2012d, 108)."
Bangladesh (1975-82)	"Start: 11/6/1975 Coup led by socialist officers along with a mutiny by NCOs ousted the prior military government (that had only held power for a few days) and killed or arrested senior officers. The governments installed by previous coups on August 15, 1975 and November 3, 1975 are not included in the data set because they did not last past Jan 1, 1976 (Blood 1988)."	"End: 3/24/1982 Coup led by Gen. Ershad, Army Chief of Staff, ousted the BNP government that had succeeded Zia after his assassination (Blood 1988; Political Handbook of the World 2012d, 108)."
Bangladesh (1982-90)	"Start: 3/24/1982 Coup led by Lt Gen Ershad, army chief of staff, established a martial law government (Blood 1988; Political Handbook of the World 2012d)."	"End: 12/6/1990 Ershad ousted by popular protests and general strikes (Maniruzzaman 1992, 207-08). Fair, competitive elections in February 1991 completed a transition to democracy."
Bangladesh (2007-08)	"Start: 1/11/2007 State of emergency declared by the civilian caretaker government, which then resigned; because the military supported the intervention and controlled events behind the scenes, this event is coded as a coup. The military installed a different, non-political civilian government (Alamgir 2009, 47; Political Handbook of the World 2012d, 109)."	"End: 12/29/2008 Competitive election, winning party allowed to take power (Alamgir 2009, 41; Taylor and Robb 2012; Political Handbook of the World 2012d, 110)"
Belarus (1991-94)	"Start: 8/25/1991 Independence under the leadership of the Supreme Soviet elected before independence in elections from which the most important opposition was excluded (Zaprudnik and Fedor 1995)."	"End: 7/10/1994 Competitive presidential election (second round on July 10), which was not won by the government candidate (Korosteleva 1998, 35-45)."
Belarus (1994-)	"Start: 7/21/1994 Authoritarianization shortly after Lukashenka (or Lukashenko) was elected in a fair and competitive election. One of his first acts was postponing parliamentary elections, leaving in office those elected to the Supreme Soviet in 1990. Harassment of the opposition began within days of his election (Silitski 2003, 44-46)."	"End: Regime continued in power as of December 31, 2010."
Benin (1960-63)	"Start: 12/11/1960 The 1960 election is identified as the endpoint of a series of political manipulations that resulted in the exclusion of a party representing about 30 percent of voters from representation: two out of three regionally based parties merged to exclude the third and guarantee themselves a majority; they then changed the electoral rules to winner-take-all in one national district, aiming to permanently exclude the minority party from representation and spoils. In the month before the election several opposition deputies were dismissed from parliament, and opposition party activists were harassed, further limiting their ability to compete. In April-May 1961, repression intensified. The opposition party was dissolved, and its leaders arrested (Carter 1963, 229-31; Mathews 1966, 144; Decalo 1973, 458; Ronen 1973, 27-28)."	"End: 10/28/1963 Massive demonstrations, general strike led army to take control and replace one civilian with another (Decalo 1973, 458-59; Decalo 1976, 52)."
Benin (1963-65)	"Start: 10/28/1963 Massive demonstrations and a general strike led the army to take control and appoint a new government (Decalo 1976, 52)."	"End: 12/22/1965 Coup led by Gen. Soglo, Army Chief of Staff, against the provisional government under the speaker of the National Assembly (Decalo 1973, 459-60; Decalo 1976, 58)."
Benin (1965-67)	"Start: 12/22/1965 Coup, led by Gen Soglo, army chief of staff, established military rule (Decalo 1973, 459-60; Decalo 1976, 58)."	"End: 12/17/1967 Coup by junior officers ousted Soglo. The post-1967 regime is considered different from the 1963-65 regime because a government of a military faction dominated by top officers mostly from the South was replaced by a government dominated by lower ranked officers, mostly from the North (Decalo 1973, 460-64; Decalo 1976, 64-66)."
Benin (1967-69)	"Start: 12/17/1967 Coup by junior officers replaced Soglo. They created the Military Revolutionary Committee of 3 capts, 8 lieuts, and 3 NCOs, as a decision-making body, but the main decisions were made by an informal junta (Bebler 1973, 23). Coded as a different regime because the coup and subsequent purges changed the ethnic, regional, and rank composition of the group from which leaders could be chosen and who could influence policy (Bebler 1973, 20-23; Decalo 1973, 464; Decalo 1976, 55, 64-66)."	"End: 12/10/1969 Zinsou, the civilian president appointed by the military, proved to be less subservient than expected, and Kouandete ordered him kidnapped. The rest of the officer corps refused to support Kouandete as government leader, but replaced Zinsou with a Military Directorate responsible to the Supreme Council of the Armed Forces that included representatives of the major regions and factions. Kouandete was included but his powers were reduced; he was no longer the dominant member (Bebler 1973, 25; Decalo 1973, 469-70; Decalo 1976, 72). The post-1969 period is considered a different regime because of the exclusion of civilian allies and a change in the regional base of the military leaders (Decalo 1976, 73)."
Benin (1969-70)	"Start: 12/13/1969 A Military Directorate responsible to the Supreme Council of the Armed Forces replaced Zinsou/Kouandete. Coded as a different regime because the regional/ethnic and rank composition of the ruling group changed. Fon officers who had been retired or arrested during the previous regime were rehabilitated and given influential roles in the new regime (Decalo 1976, 72-73)."	"End: 5/7/1970 The military turned power over to an un-elected civilian Presidential Council representing the three major regionally based leaders and parties in the country. The Presidential Council was to serve as a transitional body with the presidency to rotate among the three leaders in preparation for new democratic elections. The military did withdraw from politics, and members of the Presidential Council carried out the rules agreed to, including rotating the presidency (Decalo 1973, 470- 76; Decalo 1976, 76-77). Democratization did not ultimately occur, but it was not prevented by the leaders of the 1969-70 regime. [The period from May 1970 to October 1972 is excluded from the data set as a provisional government expected to lead to a planned transition to democracy.]"
Benin (1972-90)	"Start: 10/26/1972 Coup, led by Maj Kerekou and junior officers, ousted the civilian transitional government and replaced the entire senior military establishment; they established the Military Committee for the Revolution to rule (Decalo 1973, 476-77; Decalo 1976, 79-80)."	"End: 2/25/1990 We date the end of the regime from the opening of the National Conference that reduced Kerekou to a figurehead. Strikes and demonstrations from late 1989 to mid 1990 forced the Kerekou government to agree to a National Conference, which transformed itself into a transitional interim government (Soble 2007). Although Kerekou remained president, we coded the regime end in 1990 because observers describe his power as having been quite reduced, he gave up the Defense Ministry (and had previously resigned from the military), and military provincial prefects were replaced by civilians. The transitional government was led by the opposition, rewrote the constitution, and held a competitive election lost by the incumbent in two rounds of presidential elections on March 10 and March 24 1991 (Africa Contemporary Record 1991; Englebert 2004a, 67-68)."
Bolivia (1943-46)	"Start: 12/20/1943 Coup by nationalist junior officers organized as "secret" lodges, allied with the MNR, brought to power a junta led by Maj Villarroel (Canberra Times 1943; Klein 1969, 368-70; Corbett 1972, 403). The MNR was excluded from the cabinet from 3/44-12/44 in response to US pressure, but remained allied with government and politically important (Klein 1969, 373)."	"End: 7/21/1946. Violent popular uprising, Villarroel hung from lamppost (Klein 1969, 382; Corbett 1972, 403) ."
Bolivia (1946-51)	"Start: 7/21/1946 Popular ouster of Villarroel led to a civilian transitional government and competitive elections in January 1947 (Klein 1969, 382). This period is coded as oligarchic, and thus authoritarian, because suffrage limitations on illiterates prevented much of the population from voting. In 1951, Klein (1969, 404) estimates 7% of population, or 28% of adult males, were able to vote."	"End: 5/16/1951 Limited participation election results annulled; power handed over to military to prevent the winner of the election from taking office (Klein 1969, 399-400; Alexander 1982, 178-79)."
Bolivia (1951-52)	"Start: 5/16/1951 Power handed to the military under Gen Ballivian and election annulled (Klein 1969, 399-400; Alexander 1982, 178-79)."	"End: 4/9/1952 Armed rebellion led by the MNR defeated the military regime (Corbett 1972, 403)."
Bolivia (1952-64)	"Start: 4/9/1952 Armed rebellion led by the MNR defeated the military and placed Paz Estenssoro, the winner of the 1951 limited suffrage election, in the presidency. Suffrage was extended to illiterates before the next election, but this regime is not coded as democratic because of the mass exile of opposition political leaders and other MNR actions "authoritarianized" it. Initially, violence against the opposition was carried out by workers' militias allied with the MNR and peasant land invasions not controlled by the central government, but the government itself also became more repressive as the opposition responded to violence with violence, and the government responded to them with the creation of political police and banishment of opponents to concentration camps (Malloy 1971, 124-31; Corbett 1972, 403)."	"End: 11/4/1964. Coup led by Gen. Barrientos ousted the MNR government (Corbett 1972, 408-10)."
Bolivia (1964-69)	"Start: 11/4/1964 Coup led by Gen Barrientos leading a faction of the military established a new ruling group (Corbett 1972, 408-10; Wagner 1989)."	"End: 9/26/1969 Coup ousted the civilian vice president who succeeded Gen. Barrientos, who died in a plane crash (Corbett 1972, 416). Although Barrientos was an officer, his government had been substantially civilianized."
Bolivia (1969-71)	"Start: 9/26/1969 Coup led by Gen Ovando led to a regime controlled by the Superior Council of the Armed Forces with a rotating chair (Corbett 1972, 416-19). The post- 1969 period is considered a different regime because it excluded Barrientos' civilian allies from influence on the choice of leaders and policies and included a broader array of military factions."	"End: 8/21/1971 Coup led by Col. Banzer (exiled ex-officer) allied with the MNR, the FSB, and a rightist faction of the military ousted a military-led government supported by different military factions and allied with different groups of civilians (Corbett 1972, 424; Wagner 1989)."
Bolivia (1971-79)	"Start: 8/21/1971 Coup led by Col Banzer (exiled ex-officer) allied with the MNR, the FSB, and a rightist faction of the military established a new ruling group (Corbett 1972, 424; Wagner 1989)."	"End: 7/1/1979 Fair competitive election after the military's decision to return to barracks. No candidate won a majority, which required Congress to choose the president. Congress deadlocked and eventually chose the head of the Senate as interim president until a second election to be held in 1980. The military seized power again brie y in November 1979, but after 16 days of a general strike and bloodshed, negotiated stepping down on condition that Congress name a different interim president to oversee the transition. Congress chose the president of the Chamber of Deputies. New elections were held as scheduled in June 1980 (Alexander 1982, 114-16; Wagner 1989). [The period from July 1979 to July 1980 is excluded from the data set as a provisional government overseeing a transition to democracy.]"
Bolivia (1980-82)	"Start: 7/17/1980 Coup led by Gen Garcia Meza established a government led by a military faction allied with the drug trade (Wagner 1989)."	"End: 10/10/1982 In the midst of a massive general strike, the military transferred power to the civilian government that had been democratically elected in 1980 but not allowed to take office (Wagner 1989)."
Botswana (1966-)	"Start: 9/30/1966 Independence under Seretse Khama and the BDP, which won 80% of the vote and 28/31 seats in a competitive election before independence (Sillery 1974, 158-59). Botswana is often considered democratic but is included in the data set because of evidence of an unequal playing field despite competitive elections. The formal and informal rules guiding politics in Botswana have effectively limited competition. The assembly includes several members appointed by the ruling party. Districts are gerrymandered, and the BDP controls the electoral commission (Africa Confidential 2008, 7). The vote for Parliament chooses the president, who is the candidate supported by a majority of MPs. Presidents then select vice presidents from the Parliament. By tradition, when presidents are ready to retire, they step down and hand power to their vice presidents before the parliamentary election that formally chooses the next president. This norm has limited challenges to the dominant faction in the party because the new incumbent controls the resources deputies need to win the upcoming election (Sillery 1974, 186; Africa Confidential 2008, 7). The opposition had little access to media before independent newspapers began to be established in the late 1980s, and the government still maintains a substantial advantage through state-run media. The BDP has been able to monopolize appointments to the civil service and local tribal administration for Botswana's entire history, and thus to target spending to influence election outcomes (Mokopakgosi and Molomo 2000). The BDP has never held less than 2/3 of the seats in the Assembly during the more than five decades since independence. Mokopakgosi and Molomo (2000, 7) call Botswana a "defacto one-party state.""	"End: Regime continued in power as of December 31, 2010."
Brazil (1964-85)	"Start: 4/1/1964 Military coup ousted the elected government and established a military junta to rule (McCann 1997)."	"End: 1/15/1985 An electoral college, most of whom had been elected in fair, competitive elections, elected a civilian president from the opposition (New York Times 1985). A military-sponsored candidate lost the electoral college competition. The presidentelect died before inauguration but was constitutionally succeeded by the civilian vice president selected along with him by the electoral college, who was allowed to take office, and the military returned to the barracks. Although the new president had been a leader of the party that supported the military regime, he was a member of a faction that defected from the regime support party during the year prior to the transition, and he governed in coalition with the party that had led the opposition to the military government (Skidmore 1988, 250-60)."
Bulgaria (1944-90)	"Start: 9/9/1944 The Fatherland Front made up of Social Democrats, the Agrarian Union, Zveno (a nationalist group of officers), and the Communists seized the government immediately after the Soviet invasion. The communists did not dominate the coalition numerically, but were better organized and more disciplined. They secured the Interior and Justice Ministries in the new government, which enabled them to repress opponents. Thousands were executed and thousands sent to concentration camps during the first year. The Interior Ministry also gave the communists control of local government and the 1945 elections. Although the first PM was a Social Democrat, the communists were more effective in controlling events, and the regime had become unambiguously dominated by communists by the end of 1945 (Van Dyke 1947, 358-60, 364-69; Curtis 1992; Brunnbauer 2008, 52)."	"End: 8/1/1990 The National Assembly, still controlled by the BSP (renamed comAutocratic regime Start and End events 49 munist party), chose Zhelev, leader of the opposition UDF, as president after the communist leader Mladenov resigned. Zhelev was a compromise candidate; a nonpartisan PM was chosen in November 1990 to replace the BSP PM. This marks the end of the communist regime before new elections were held in 1991 and won by the UDF, completing the transition (Curtis 1992)."
Burkina Faso (1960-66)	"Start: 8/5/1960 Independence under single party rule; opposition parties were banned shortly before independence (Collier 1982, 109; Englebert 1996, 34-35). In December 1960 Yameogo, the new UDV/RDA president, prevented opposition parties from competing in municipal elections, and several opposition politicians were arrested (Englebert 1996, 44)."	"End: 1/3/1966 The military intervened at the unions' request, rather than firing on unarmed demonstrators during a general strike (Africa Confidential 1968a, 5; Englebert 1996, 46)."
Burkina Faso (1966-80)	"Start: 1/3/1966 The military, led by Chief of Staff Lt Col Lamizana, intervened at unions' request, rather than firing on unarmed demonstrators during a general strike. He suspended the constitution and created a new governing body, the Superior Council of the Armed Forces, of all officers ranked above capt (Africa Confidential 1968a, 5; Englebert 1996, 46). The regime was later broadened to included civilians."	"End: 11/25/1980 Coup led by Col. Zerbo overthrew General Lamizana and established the Comite Militaire de Redressement pour le Progres National. All key posts were granted to officers (Englebert 1996, 51-2). The 1966-80 regime is considered different from the earlier period because civilians were excluded from the ruling group."
Burkina Faso (1980-82)	"Start: 11/25/1980 Coup led by Col Zerbo established the Comite Militaire de Redressement pour le Progres National, which included 5 NCOs and one soldier as well as 25 officers, as the policy making body. The constitution was suspended and parties banned (Engelbert 1998, 51-52). The period from 1980-82 is considered a different regime because Lamizana's civilian coalition partners were excluded from the ruling group."	"End: 11/7/1982 Coup by junior officers and privates (Robinson 1992, 146; Englebert 1996, 53-54). The 1982-87 government is treated as a different regime because of a change in the rank of the group from which leaders could be chosen."
Burkina Faso (1982-87)	"Start: 11/7/1982 Coup dominated by junior officers. Col. Some, army commander, led the coup but was prevented from becoming president of the new regime by other armed factions led by junior officers who had participated in the coup (Englebert 1996, 53-54). The new government is treated as a different regime from Zerbo's because of a change in the rank of the group from which leaders could be chosen."	"End: 10/15/1987 Assassination of Sankara by soldiers linked to Compaore (Wilkins 1989, 375), followed by Compaore's accession to power, and the beginning of the change in the social and organizational bases of the regime. The government that began in 1987 is treated as a new regime because Compaore changed the identity of the groups that could influence policy and from which officials could be chosen. Leaders of the small parties that had collaborated with Sankara fled to exile, were repressed or merged into the new ruling single party, along with new parties representing some of the same political formations that had been excluded by Sankara after dominating politics in the sixties and seventies (Englebert 1996, 61-5). The CDRs were dissolved in early 1988. In short, the post-1987 regime included a much wider array of political actors but excluded some of those who had been important to Sankara's support base."
Burkina Faso (1987-)	"Start: 10/15/1987 Assassination of Sankara, leading to the creation of a broader, more moderate coalition government. The CDRs were dissolved in early 1988. The small leftist parties that had collaborated with Sankara fled to exile, were repressed or merged into the new ruling single party, ODP/MT, along with new parties representing some of the same political formations that had dominated politics in the sixties and seventies. A few of Sankara's military allies were executed. By 1990, the ruling FP included seven parties besides ODP/MT and most unions, which had been excluded by Sankara (Englebert 1996, 65). In short, the regime had been broadened to include a much wider array of political and socio-economic actors, and its leftism had been muted."	"End: Regime continued in power as of December 31, 2010."
Burundi (1962-66)	"Start: 7/1/1962 Independence under the traditional monarchy, supposedly constitutional, but the crown chose and dismissed governments without consulting parliament, increased its powers in various ways, and entrusted key offices to family members. Governments were balanced between Tutsis and Hutus (Lemarchand 1966, 420-23; Political Handbook of the World 2012e, 205)."	"End: 7/8/1966. Coup replaced the king with his youngest son, reduced the monarch's powers, and formed a government headed by one of the coup leaders, Capt. Micombero, who became PM. Although the king's son remained the monarch for a short time, the ability to control policies and appointments shifted to Micombero . (Lemarchand 1974a, 87)."
Burundi (1966-87)	"Start: 7/8/1966 Coup replaced the king with his youngest son, reduced the monarch's powers, and forced him to appoint the coup leader, Capt Micombero, as PM. A second coup in November 1966 by Tutsi military officers under PM Micombero resulted in the formal transition from monarchy to republic with Micombero in control and a government dominated by Tutsi officers and politicians. Hutus were purged from officer corps in 1966, 1969, and 1972, as well as from the bureaucracy and politics (Lemarchand 1974a, 75, Lemarchand 1974b, 87)."	"End: 9/3/1987. Coup led by Maj. Buyoya (Europa World Yearbook 2004, 946; Political Handbook of the World 2012e, 205). Buyoya's government is considered a new regime because he initially dissolved the Tutsi ruling party and established an allmilitary ruling group of 31 officers, thus changing the identity of the group able to influence policy."
Burundi (1987-93)	"Start: 9/3/1987 Coup led by Maj Buyoya, Tutsi, who initially established the all Tutsi Military Committee for National Salvation of 31 officers; in 10/88 the Council was reformed with half Tutsi, half Hutu members (Europa World Yearbook 2004, 946, Political Handbook of the World 2012e, 205)."	"End: 6/1/1993 Election won by a Hutu from the Frodebu party (Europa World Yearbook 2004, 946, Political Handbook of the World 2012e, 206)."
Burundi (1996-2003)	"Start: 7/25/1996 Coup led by Buyoya established a new ruling group (Economist 1996d, 42; EuropaWorld Yearbook 2004, 948; Political Handbook of theWorld 2012e, 206)."	"End: 4/30/2003 Installation of an interim transitional government. Buyoya handed power to his Hutu VP as agreed to in the Arusha Peace Accord. The new president, Frodebu party leader Ndayizeye, oversaw a competitive election as required by the Peace Accord, which was won by a different Hutu party, CND-FDD, completing the transition (Institute for Security Studies 2005)."
Cambodia (1953-70)	"Start: 11/9/1953 Independence under what was supposed to be a constitutional monarchy, but Sihanouk had suspended the constitution, dissolved the assembly, assumed the post of PM, and declared martial law before independence. Sihanouk came from the traditional royal family but had been chosen by the French over other potential royal claimants (Seekins 1987; Political Handbook of the World 2012f, 216)."	"End: 3/18/1970. Coup by Gen. Lon Nol ousted Sihanouk. The monarchy was abolished in October 1970 (Seekins 1987; Political Handbook of the World 2012f, 216)."
Cambodia (1970-75)	"Start: 3/18/1970 Coup by PM General Lon Nol and Prince Sirik Matak established a new civil-military ruling group (Seekins 1987; Political Handbook of the World 2012f, 215)."	"End: 4/17/75 Formal surrender after the defeat of government forces by the Khmer Rouge insurgency (Seekins 1987; Political Handbook of the World 2012f, 216)."
