country,regime,start,end
Austria,D,1920,1934
Austria,A,1934,1938
Austria,D,1945,1998
Belgium,S,1830,1919
Belgium,D,1919,1998
Denmark,S,1849,1915
Denmark,D,1915,1998
Finland,T,1917,1919
Finland,D,1919,1998
France,D,1849,1851
France,S,1851,1871
France,D,1871,1940
France,A,1940,1944
France,D,1944,1998
Germany,A,1871,1919
Germany,D,1919,1933
Germany,A,1933,1945
Germany,T,1945,1949
Germany,D,1949,1998
Greece,A,1844,1926
Greece,S,1926,1936
Greece,A,1936,1950
Greece,S,1950,1967
Greece,A,1967,1974
Greece,T,1974,1974
Greece,D,1974,1998
Ireland,D,1922,1998
Italy,A,1870,1887
Italy,S,1887,1923
Italy,T,1923,1925
Italy,A,1925,1945
Italy,T,1945,1946
Italy,D,1946,1998
Netherlands,S,1848,1917
Netherlands,D,1917,1998
Norway,S,1814,1898
Norway,D,1898,1998
Portugal,A,1822,1911
Portugal,S,1911,1917
Portugal,A,1917,1918
Portugal,S,1918,1926
Portugal,A,1926,1974
Portugal,T,1974,1976
Portugal,D,1976,1998
Spain,A,1869,1873
Spain,S,1873,1874
Spain,A,1874,1890
Spain,S,1890,1923
Spain,A,1923,1931
Spain,T,1931,1934
Spain,D,1934,1939
Spain,A,1939,1976
Spain,T,1976,1977
Spain,D,1977,1998
Sweden,A,1809,1866
Sweden,S,1866,1917
Sweden,D,1917,1998
Switzerland,D,1848,1998
United Kingdom,S,1832,1885
United Kingdom,D,1885,1998
Albania,A,1945,1990
Albania,T,1990,1991
Albania,S,1991,1998
Bosnia and Herzegovina,A,1992,1995
Bosnia and Herzegovina,T,1996,1998
Bosnia and Herzegovina,S,1998,1998
Bulgaria,A,1945,1990
Bulgaria,T,1990,1990
Bulgaria,D,1990,1998
Croatia,T,1990,1990
Croatia,S,1990,1998
Czechoslovakia,D,1918,1938
Czechoslovakia,A,1938,1945
Czechoslovakia,D,1945,1947
Czechoslovakia,T,1947,1948
Czechoslovakia,A,1948,1989 
Czechoslovakia,T,1989,1990
Czechoslovakia,D,1990,1992
Czech Republic,D,1993,1998
German Democratic Republic,A,1945,1990
Hungary,A,1919,1922
Hungary,S,1922,1932
Hungary,A,1932,1989
Hungary,T,1989,1989
Hungary,D,1989,1998
Macedonia,D,1991,1998
Poland,T,1918,1921
Poland,D,1921,1926
Poland,T,1926,1927
Poland,A,1927,1989
Poland,T,1989,1990
Poland,D,1990,1998
Romania,A,1878,1917
Romania,S,1917,1937
Romania,A,1937,1989
Romania,T,1989,1990
Romania,S,1990,1992
Romania,D,1992,1998
Slovak Republic,S,1993,1998
Slovak Republic,D,1998,1998
Slovenia,T,1989,1990
Slovenia,D,1990,1998
Yugoslavia,A,1918,1990
Yugoslavia,S,1990,1998
Armenia,S,1991,1998
Azerbaijan,A,1991,1998
Belarus,A,1991,1998
Estonia,T,1991,1992
Estonia,D,1992,1998
Georgia,A,1991,1992
Georgia,T,1992,1992
Georgia,S,1992,1998
Kazakhstan,A,1991,1998
Kyrgyzstan,T,1991,1993
Kyrgyzstan,S,1993,1998
Latvia,T,1990,1991
Latvia,D,1991,1998
Lithuania,T,1990,1992
Lithuania,D,1992,1998
Moldova,T,1991,1994
Moldova,S,1994,1998
Russia (Soviet Union),A,1905,1991
Russia (Soviet Union),T,1991,1994
Russia (Soviet Union),S,1994,1998
Tajikistan,A,1991,1998
Turkmenistan,A,1991,1998
Ukraine,T,1991,1991
Ukraine,S,1991,1998
Uzbekistan,A,1991,1998
Australia,S,1867,1901
Australia,D,1901,1998
Canada,D,1920,1998
New Zealand,D,1907,1998
United States,S,1789,1870
United States,D,1870,1998
Argentina,A,1816,1862
Argentina,S,1862,1930
Argentina,A,1930,1932
Argentina,S,1932,1943
Argentina,A,1943,1946
Argentina,S,1946,1955
Argentina,A,1955,1958
Argentina,S,1958,1966
Argentina,A,1966,1973
Argentina,S,1973,1976
Argentina,A,1976,1982
Argentina,T,1982,1983
Argentina,D,1983,1998
Bolivia,A,1825,1952
Bolivia,S,1952,1964
Bolivia,A,1964,1981
Bolivia,T,1981,1982
Bolivia,D,1982,1998
Brazil,A,1822,1945
Brazil,T,1945,1946
Brazil,D,1946,1964
Brazil,A,1964,1974
Brazil,T,1974,1985
Brazil,D,1985,1998
Chile,A,1818,1840
Chile,S,1840,1952
Chile,D,1952,1973
Chile,A,1973,1988
Chile,T,1988,1990
Chile,D,1990,1998
Colombia,A,1819,1910
Colombia,S,1910,1949
Colombia,A,1949,1957
Colombia,T,1957,1958
Colombia,D,1958,1998
Costa Rica,A,1838,1909
Costa Rica,S,1909,1917
Costa Rica,A,1917,1918
Costa Rica,S,1918,1948
Costa Rica,T,1948,1949
Costa Rica,D,1949,1998
Cuba,A,1902,1940
Cuba,D,1940,1952
Cuba,A,1952,1998
Dominican Republic,A,1844,1962
Dominican Republic,T,1962,1963
Dominican Republic,D,1963,1963
Dominican Republic,A,1963,1978
Dominican Republic,D,1978,1998
Ecuador,A,1830,1948
Ecuador,S,1948,1963
Ecuador,A,1963,1966
Ecuador,T,1966,1968
Ecuador,S,1968,1970
Ecuador,A,1970,1975
Ecuador,T,1975,1979
Ecuador,S,1979,1984
Ecuador,D,1984,1998
El Salvador,A,1841,1927
El Salvador,T,1927,1931
El Salvador,S,1931,1931
El Salvador,A,1931,1992
El Salvador,S,1992,1994
El Salvador,D,1994,1998
Guatemala,A,1839,1944
Guatemala,T,1944,1945
Guatemala,D,1945,1954
Guatemala,A,1954,1983
