extended_country_name,extended_gwn,code,value,country_name,startdate,enddate,group,panel,GW_membership,cow_membership,polity_membership,extended_continent,extended_region,lat,lon,panel_abbreviation,regex,countrycode_regex
Afghanistan,700,gwn,700,Afghanistan,1816-01-01,1888-12-30,1,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,afghan,afghan
Afghanistan,700,gwn,700,Afghanistan,1919-05-01,NA,2,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,afghan,afghan
Afghanistan,700,gwn,700,Afghanistan,1816-01-01,1888-12-31,1,countrycode package 2025,TRUE,TRUE,TRUE,NA,NA,NA,NA,countrycode,afghan,afghan
Afghanistan,700,gwn,700,Afghanistan,1919-01-01,NA,2,countrycode package 2025,TRUE,TRUE,TRUE,NA,NA,NA,NA,countrycode,afghan,afghan
Afghanistan,700,gwc,AFG,Afghanistan,1816-01-01,1888-12-30,1,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,afghan,afghan
Afghanistan,700,gwc,AFG,Afghanistan,1919-05-01,NA,2,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,afghan,afghan
Afghanistan,700,cown,700,Afghanistan,1919-08-08,NA,1,COW 2016,TRUE,TRUE,TRUE,NA,NA,NA,NA,cow,afghan,afghan
Afghanistan,700,cown,700,Afghanistan,1789-01-01,NA,NA,V-Dem 2024,TRUE,TRUE,TRUE,NA,NA,NA,NA,vdem,afghan,afghan
Afghanistan,700,cowc,AFG,Afghanistan,1919-08-08,NA,1,COW 2016,TRUE,TRUE,TRUE,NA,NA,NA,NA,cow,afghan,afghan
Afghanistan,700,polity_ccode,700,Afghanistan,1800-01-01,NA,1,Polity5 v2018,TRUE,TRUE,TRUE,NA,NA,NA,NA,polity,afghan,afghan
Afghanistan,700,polity_scode,AFG,Afghanistan,1800-01-01,NA,1,Polity5 v2018,TRUE,TRUE,TRUE,NA,NA,NA,NA,polity,afghan,afghan
Albania,339,gwn,339,Albania,1913-01-01,NA,1,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,albania,albania
Albania,339,gwn,339,Albania,1913-01-01,NA,1,countrycode package 2025,TRUE,TRUE,TRUE,NA,NA,NA,NA,countrycode,albania,albania
Albania,339,gwc,ALB,Albania,1913-01-01,NA,1,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,albania,albania
Albania,339,cown,339,Albania,1914-01-01,1939-04-07,1,COW 2016,TRUE,TRUE,TRUE,NA,NA,NA,NA,cow,albania,albania
Albania,339,cown,339,Albania,1944-11-17,NA,2,COW 2016,TRUE,TRUE,TRUE,NA,NA,NA,NA,cow,albania,albania
Albania,339,cown,339,Albania,1912-01-01,NA,NA,V-Dem 2024,TRUE,TRUE,TRUE,NA,NA,NA,NA,vdem,albania,albania
Albania,339,cowc,ALB,Albania,1914-01-01,1939-04-07,1,COW 2016,TRUE,TRUE,TRUE,NA,NA,NA,NA,cow,albania,albania
Albania,339,cowc,ALB,Albania,1944-11-17,NA,2,COW 2016,TRUE,TRUE,TRUE,NA,NA,NA,NA,cow,albania,albania
Albania,339,polity_ccode,339,Albania,1914-09-04,NA,1,Polity5 v2018,TRUE,TRUE,TRUE,NA,NA,NA,NA,polity,albania,albania
Albania,339,polity_scode,ALB,Albania,1914-09-04,NA,1,Polity5 v2018,TRUE,TRUE,TRUE,NA,NA,NA,NA,polity,albania,albania
Algeria,615,gwn,615,Algeria,1816-01-01,1830-07-05,1,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,algeria,algeria
Algeria,615,gwn,615,Algeria,1962-07-05,NA,2,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,algeria,algeria
Algeria,615,gwn,615,Algeria,1816-01-01,1830-12-31,1,countrycode package 2025,TRUE,TRUE,TRUE,NA,NA,NA,NA,countrycode,algeria,algeria
Algeria,615,gwn,615,Algeria,1962-01-01,NA,2,countrycode package 2025,TRUE,TRUE,TRUE,NA,NA,NA,NA,countrycode,algeria,algeria
Algeria,615,gwc,ALG,Algeria,1816-01-01,1830-07-05,1,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,algeria,algeria
Algeria,615,gwc,ALG,Algeria,1962-07-05,NA,2,Gleditsch and Ward,TRUE,TRUE,TRUE,NA,NA,NA,NA,gw,algeria,algeria
Algeria,615,cown,615,Algeria,1962-07-05,NA,1,COW 2016,TRUE,TRUE,TRUE,NA,NA,NA,NA,cow,algeria,algeria
