Country,Year,Score
Afghanistan,1948,54
Afghanistan,1949,55
Afghanistan,1950,54
Afghanistan,1951,55
Afghanistan,1952,56
Afghanistan,1953,55
Afghanistan,1954,56
Afghanistan,1955,54
Afghanistan,1956,55
Afghanistan,1957,52
Afghanistan,1958,54
Afghanistan,1959,54
Afghanistan,1960,54
Afghanistan,1961,55
Afghanistan,1962,56
Afghanistan,1963,56
Afghanistan,1964,45
Afghanistan,1965,64
Afghanistan,1966,64
Afghanistan,1967,65
Afghanistan,1968,65
Afghanistan,1969,66
Afghanistan,1970,66
Afghanistan,1971,66
Afghanistan,1972,67
Afghanistan,1973,50
Afghanistan,1974,51
Afghanistan,1975,51
Afghanistan,1976,51
Afghanistan,1977,51
Afghanistan,1978,47
Afghanistan,1979,46
Afghanistan,1980,46
Afghanistan,1981,47
Afghanistan,1982,46
Albania,1948,57
Albania,1949,59
Albania,1950,60
Albania,1951,57
Albania,1952,59
Albania,1953,58
Albania,1954,60
Albania,1955,58
Albania,1956,60
Albania,1957,57
Albania,1958,59
Albania,1959,58
Albania,1960,59
Albania,1961,58
Albania,1962,60
Albania,1963,60
Albania,1964,60
Albania,1965,60
Albania,1966,61
Albania,1967,61
Albania,1968,62
Albania,1969,63
Albania,1970,62
Albania,1971,63
Albania,1972,64
Albania,1973,64
Albania,1974,64
Albania,1975,64
Albania,1976,64
Albania,1977,64
Albania,1978,63
Albania,1979,62
Albania,1980,62
Albania,1981,62
Albania,1982,61
Algeria,1967,46
Algeria,1968,46
Algeria,1969,49
Algeria,1970,47
Algeria,1971,49
Algeria,1972,50
Algeria,1973,50
Algeria,1974,51
Algeria,1975,51
Algeria,1976,53
Algeria,1977,67
Algeria,1978,67
Algeria,1979,66
Algeria,1980,65
Algeria,1981,67
Algeria,1982,65
Angola,1975,51
Angola,1976,54
Angola,1977,50
Angola,1978,48
Angola,1979,48
Angola,1980,62
Angola,1981,62
Angola,1982,61
Argentina,1948,81
Argentina,1949,72
Argentina,1950,65
Argentina,1951,65
Argentina,1952,69
Argentina,1953,70
Argentina,1954,69
Argentina,1955,32
Argentina,1956,36
Argentina,1957,38
Argentina,1958,70
Argentina,1959,73
Argentina,1960,77
Argentina,1961,78
Argentina,1962,43
Argentina,1963,78
Argentina,1964,76
Argentina,1965,80
Argentina,1966,43
Argentina,1967,45
Argentina,1968,45
Argentina,1969,48
Argentina,1970,48
Argentina,1971,52
Argentina,1972,51
Argentina,1973,87
Argentina,1974,89
Argentina,1975,87
Argentina,1976,52
Argentina,1977,52
Argentina,1978,52
Argentina,1979,48
Argentina,1980,48
Argentina,1981,46
Argentina,1982,47
Australia,1948,98
Australia,1949,97
Australia,1950,97
Australia,1951,99
Australia,1952,98
Australia,1953,97
Australia,1954,98
Australia,1955,97
Australia,1956,98
Australia,1957,97
Australia,1958,98
Australia,1959,97
Australia,1960,98
Australia,1961,98
Australia,1962,98
Australia,1963,99
