stateabb,ccode,statenme,styear,stmonth,stday,endyear,endmonth,endday,version
USA,2,United States of America,1816,1,1,2016,12,31,2016
CAN,20,Canada,1920,1,10,2016,12,31,2016
BHM,31,Bahamas,1973,7,10,2016,12,31,2016
CUB,40,Cuba,1902,5,20,1906,9,25,2016
CUB,40,Cuba,1909,1,23,2016,12,31,2016
HAI,41,Haiti,1859,1,1,1915,7,28,2016
HAI,41,Haiti,1934,8,15,2016,12,31,2016
DOM,42,Dominican Republic,1894,1,1,1916,11,29,2016
DOM,42,Dominican Republic,1924,9,29,2016,12,31,2016
JAM,51,Jamaica,1962,8,6,2016,12,31,2016
TRI,52,Trinidad and Tobago,1962,8,31,2016,12,31,2016
BAR,53,Barbados,1966,11,30,2016,12,31,2016
DMA,54,Dominica,1978,11,3,2016,12,31,2016
GRN,55,Grenada,1974,2,7,2016,12,31,2016
SLU,56,St. Lucia,1979,2,22,2016,12,31,2016
SVG,57,St. Vincent and the Grenadines,1979,10,27,2016,12,31,2016
AAB,58,Antigua & Barbuda,1981,11,1,2016,12,31,2016
SKN,60,St. Kitts and Nevis,1983,9,19,2016,12,31,2016
MEX,70,Mexico,1831,1,1,2016,12,31,2016
BLZ,80,Belize,1981,9,21,2016,12,31,2016
GUA,90,Guatemala,1868,1,1,2016,12,31,2016
HON,91,Honduras,1899,1,1,2016,12,31,2016
SAL,92,El Salvador,1875,1,1,2016,12,31,2016
NIC,93,Nicaragua,1900,1,1,2016,12,31,2016
COS,94,Costa Rica,1920,1,1,2016,12,31,2016
PAN,95,Panama,1903,11,3,2016,12,31,2016
COL,100,Colombia,1831,1,1,2016,12,31,2016
VEN,101,Venezuela,1841,1,1,2016,12,31,2016
GUY,110,Guyana,1966,5,26,2016,12,31,2016
SUR,115,Suriname,1975,11,25,2016,12,31,2016
ECU,130,Ecuador,1854,1,1,2016,12,31,2016
PER,135,Peru,1839,1,1,2016,12,31,2016
BRA,140,Brazil,1822,9,7,2016,12,31,2016
BOL,145,Bolivia,1848,1,1,2016,12,31,2016
PAR,150,Paraguay,1846,1,1,1870,6,20,2016
PAR,150,Paraguay,1876,6,22,2016,12,31,2016
CHL,155,Chile,1839,1,1,2016,12,31,2016
ARG,160,Argentina,1841,1,1,2016,12,31,2016
URU,165,Uruguay,1882,1,1,2016,12,31,2016
UKG,200,United Kingdom,1816,1,1,2016,12,31,2016
IRE,205,Ireland,1922,12,6,2016,12,31,2016
NTH,210,Netherlands,1816,1,1,1940,7,14,2016
NTH,210,Netherlands,1945,6,26,2016,12,31,2016
BEL,211,Belgium,1830,12,20,1940,5,28,2016
BEL,211,Belgium,1945,6,26,2016,12,31,2016
LUX,212,Luxembourg,1920,11,15,1940,5,10,2016
LUX,212,Luxembourg,1944,9,10,2016,12,31,2016
FRN,220,France,1816,1,1,1942,11,11,2016
