country_name,GWn,GWc,regex,region,continent,GW_startdate,GW_enddate,microstate,GW_membership,cown,cowc,polity_ccode,polity_country,polity_startdate,polity_enddate,num_periods,problem_history,lon,lat,cow_startdate,cow_enddate
United States of America,2,USA,^(?!.*islands).*united.?states|^u\.?s\.?a\.?$|^u\.?s\.?$,Northern America,Americas,1816-01-01,NA,FALSE,TRUE,2,USA,2,United States,1800-01-01,NA,1,FALSE,-95.712891,37.09024,1800-01-01,NA
Canada,20,CAN,canada,Northern America,Americas,1867-07-01,NA,FALSE,TRUE,20,CAN,20,Canada,1867-07-01,NA,1,FALSE,-106.346771,56.130366,1867-07-01,NA
Bahamas,31,BHM,bahamas,Caribbean,Americas,1973-07-10,NA,FALSE,TRUE,31,NA,31,NA,NA,NA,1,FALSE,-77.39628,25.03428,1973-07-10,NA
Cuba,40,CUB,\bcuba,Caribbean,Americas,1902-05-20,NA,FALSE,TRUE,40,CUB,40,Cuba,1902-05-20,NA,1,FALSE,-77.781167,21.521757,1902-05-20,NA
Haiti,41,HAI,haiti|haïti,Caribbean,Americas,1816-01-01,1915-07-04,FALSE,TRUE,41,HAI,41,Haiti,1820-07-01,NA,2,FALSE,-72.285215,18.971187,1804-01-01,1915-07-04
Haiti,41,HAI,haiti|haïti,Caribbean,Americas,1934-08-15,NA,FALSE,TRUE,41,HAI,41,Haiti,1820-07-01,NA,2,FALSE,-72.285215,18.971187,1934-08-15,NA
Dominican Republic,42,DOM,dominican,Caribbean,Americas,1844-02-27,NA,FALSE,TRUE,42,DOM,42,Dominican Republic,1844-02-27,NA,1,FALSE,-70.162651,18.735693,1844-02-27,NA
Jamaica,51,JAM,jamaica,Caribbean,Americas,1962-08-06,NA,FALSE,TRUE,51,JAM,51,Jamaica,1959-07-04,NA,1,FALSE,-77.297508,18.109581,1962-08-06,NA
Trinidad and Tobago,52,TRI,trinidad|tobago,Caribbean,Americas,1962-08-31,NA,FALSE,TRUE,52,TRI,52,Trinidad,1962-08-31,NA,1,FALSE,-61.222503,10.691803,1962-08-31,NA
Barbados,53,BAR,barbados,Caribbean,Americas,1966-11-30,NA,FALSE,TRUE,53,NA,53,NA,NA,NA,1,FALSE,-59.543198,13.193887,1966-11-30,NA
Dominica,54,DMA,dominica(?!n),Caribbean,Americas,1978-11-03,NA,TRUE,TRUE,54,NA,54,NA,NA,NA,1,FALSE,-61.370976,15.414999,1978-11-03,NA
Grenada,55,GRN,grenada,Caribbean,Americas,1974-02-07,NA,TRUE,TRUE,55,NA,55,NA,NA,NA,1,FALSE,-61.679,12.1165,1974-02-07,NA
Saint Lucia,56,SLU,\blucia,Caribbean,Americas,1979-02-22,NA,TRUE,TRUE,56,NA,56,NA,NA,NA,1,FALSE,-60.978893,13.909444,1979-02-22,NA
Saint Vincent and the Grenadines,57,SVG,vincent,Caribbean,Americas,1979-10-27,NA,TRUE,TRUE,57,NA,57,NA,NA,NA,1,FALSE,-61.1971628,13.2528179,1979-10-27,NA
Antigua & Barbuda,58,AAB,antigua,Caribbean,Americas,1981-11-01,NA,TRUE,TRUE,58,NA,58,NA,NA,NA,1,FALSE,-114.5134396,32.6671352,1981-11-01,NA
Saint Kitts and Nevis,60,SKN,kitts|\bnevis,Caribbean,Americas,1983-09-19,NA,TRUE,TRUE,60,NA,60,NA,NA,NA,1,FALSE,-62.782998,17.357822,1983-09-19,NA
Mexico,70,MEX,\bmexic,Central America,Americas,1821-07-01,NA,FALSE,TRUE,70,MEX,70,Mexico,1822-05-19,NA,1,FALSE,-102.552784,23.634501,1821-07-01,NA
Belize,80,BLZ,belize|^(?=.*british).*honduras,Central America,Americas,1981-09-21,NA,FALSE,TRUE,80,NA,80,NA,NA,NA,1,FALSE,-88.49765,17.189877,1981-09-21,NA
United Provinces of Central America,89,UPC,united province|CENTRAL AMERICAN UNION|upca|up of central america,Central America,Americas,1823-07-01,1839-12-31,FALSE,TRUE,89,UPC,89,United Provinces,1824-01-01,1838-12-31,1,FALSE,-90.230759,15.783471,1823-07-01,1839-12-31
Guatemala,90,GUA,guatemala,Central America,Americas,1840-01-01,NA,FALSE,TRUE,90,GUA,90,Guatemala,1839-04-30,NA,1,FALSE,-90.230759,15.783471,1840-01-01,NA
Honduras,91,HON,^(?!.*brit).*honduras,Central America,Americas,1840-01-01,NA,FALSE,TRUE,91,HON,91,Honduras,1839-01-10,NA,1,FALSE,-86.241905,15.199999,1840-01-01,NA
El Salvador,92,SAL,el.?salvador,Central America,Americas,1840-01-01,NA,FALSE,TRUE,92,SAL,92,El Salvador,1841-02-16,NA,1,FALSE,-88.89653,13.794185,1840-01-01,NA
Nicaragua,93,NIC,nicaragua,Central America,Americas,1840-01-01,NA,FALSE,TRUE,93,NIC,93,Nicaragua,1838-04-30,NA,1,FALSE,-85.207229,12.865416,1840-01-01,NA
Costa Rica,94,COS,costa.?rica,Central America,Americas,1840-01-01,NA,FALSE,TRUE,94,COS,94,Costa Rica,1838-07-01,NA,1,FALSE,-83.753428,9.748917,1840-01-01,NA
Panama,95,PAN,panama,Central America,Americas,1903-11-03,NA,FALSE,TRUE,95,PAN,95,Panama,1903-11-03,NA,1,FALSE,-80.782127,8.537981,1903-11-03,NA
Great Colombia,99,GCL,great colombia|gran colombia,South America,Americas,1821-08-30,1830-09-22,FALSE,TRUE,99,GCL,99,Gran Colombia,1821-08-03,1832-02-28,1,FALSE,-74.297333,4.570868,1821-08-30,1830-09-22
Colombia,100,COL,^(?!.*\bgr).*\bcolombia,South America,Americas,1830-09-23,NA,FALSE,TRUE,100,COL,100,Colombia,1832-02-29,NA,1,FALSE,-74.297333,4.570868,1830-09-23,NA
