dataset,long_name,main_democracy_measure_col,measure_type,based_on,in_pmm_replication,categorical_regime_types,user_extendable,downloadable,included_in_package,first_published_use,source_link,licensing_info,notes
anckar,The Anckar-Fredriksson dataset of political regimes,democracy,dichotomous,bmr,FALSE,TRUE,FALSE,TRUE,TRUE,2018,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7SSSAH&version=2.0,CC0 1.0,The democracy measure should be equivalent to democracy_omitteddata from bmr up to 2010; it may have some divergences for the 2011-2016 period.
anrr,"The Acemoglu, Naidu, Restrepo, and Robinson dataset",dem,dichotomous,"FH,Polity",FALSE,FALSE,TRUE,FALSE,TRUE,2019,https://www.journals.uchicago.edu/doi/full/10.1086/700936,Unknown. Assumed CC0 1.0,"The measure can be extended by using the latest FH, Polity, and PACL Data, but the rules are not entirely transparent, and some cases in the original dataset have been hand-coded."
arat_pmm,The Arat measure of democracy,pmm_arat,continuous,NA,TRUE,FALSE,FALSE,FALSE,TRUE,1991,,Unknown. Assumed CC0 1.0,"Only available via the Pemstein, Meserve, and Melton (2013) replication data. I have not been able to access the original data."
blm,"The Bowman, Lehoucq, and Mahoney index of democracy for Central America",blm,trichotomous,NA,TRUE,FALSE,FALSE,TRUE,TRUE,2005,,Unknown. Assumed CC0 1.0,
bmr,"The Boix-Miller-Rosato dichotomous coding of democracy, 1800-2015, version 4.0","democracy,democracy_omitteddata,democracy_femalesuffrage",dichotomous,PACL,FALSE,FALSE,FALSE,TRUE,TRUE,2010,https://sites.google.com/site/mkmtwo/data,Unknown. Assumed CC0 1.0,
bnr,"The Bernhard, Nordstrom & Reenock Event History Coding of Democratic Breakdowns","event,bnr",dichotomous,NA,FALSE,FALSE,TRUE,FALSE,TRUE,2001,,Unknown. Assumed CC0 1.0,Can be extended using a full panel of sovereign countries  (COW). Extended version included in this package.
bti,The Berteslmann Index of Political transformation,SI_Democracy_Status,continuous,NA,FALSE,FALSE,FALSE,TRUE,TRUE,2006,https://bti-project.org/fileadmin/api/content/en/downloads/data/BTI_2006-2022_Scores.xlsx,Unknown.,
bollen_pmm,The Bollen measure of democracy,pmm_bollen,continuous,NA,TRUE,FALSE,FALSE,FALSE,TRUE,1978,,Unknown. Assumed CC0 1.0,"The original data was compiled in 1978, for Bollen's dissertation; existing data seems to be from the 2000 update. I do not know how much it changed over time. Only available via the Pemstein, Meserve, and Melton (2013) replication data. I have not been able to access the original data."
doorenspleet,Renske Doorenspleet's Democracy Dataset,"doorenspleet,regime",dichotomous,Polity,FALSE,FALSE,FALSE,FALSE,TRUE,2000,https://www.cambridge.org/core/journals/world-politics/article/abs/reassessing-the-three-waves-of-democratization/25A6CB38E6746F98D882DFC43A54D211,Unknown. Assumed CC0 1.0,
eiu,The Economist Intelligence Unit's Democracy Index,eiu,continuous,NA,FALSE,FALSE,FALSE,FALSE,TRUE,2006,,Unknown.,The original data has to be manually extracted from the tables in the EIU's pdf report on the index.
fh,"Freedom House ""Freedom in the World"" data","status,fh_total,fh_total_reversed",ordinal,FH,TRUE,FALSE,FALSE,TRUE,FALSE,1973,https://freedomhouse.org/reports/publication-archives,Unknown.,
fh_full,"Freedom House ""Freedom in the World"" data",total,continuous,FH,FALSE,FALSE,FALSE,TRUE,FALSE,2013,,Unknown.,"This is the 0-100 score Freedom House uses for its more aggregated ratings. Freedom House changed its methodology in 2013, so the full data is different for this period; full data from 2003-2012 is available in their website, but is not yet included in this package."
fh_electoral,"Freedom House ""Electoral Democracies"" List",electoral,dichotomous,FH,FALSE,FALSE,FALSE,TRUE,FALSE,1990,,Unknown.,"The electoral democracy list seems to have only been compiled since the 1990s, but I have not been able to find an exact date of first compilation."
gwf,The Geddes Wright and Frantz Autocratic Regimes dataset,"gwf_regimetype,gwf_nonautocracy",dichotomous,PACL,FALSE,TRUE,TRUE,TRUE,TRUE,2014,http://sites.psu.edu/dictators/,Unknown. Assumed CC0 1.0,Can be extended using the gwf_duration variable. Extended version included in this package.
hadenius_pmm,Axel Hadenius' Index of Democracy,pmm_hadenius,continuous,NA,TRUE,FALSE,FALSE,FALSE,TRUE,1992,,Unknown. Assumed CC0 1.0,"Only available via the Pemstein, Meserve, and Melton (2013) replication data. I have not been able to access the original data."
kailitz,The Steffen Kailitz Dataset of Authoritarian Regime Types,"combined_regime,kailitz_binary,kailitz_tri",dichotomous,NA,FALSE,TRUE,FALSE,FALSE,TRUE,2013,https://journals.sagepub.com/doi/full/10.1177/0192512115616830,Unknown.,
