Country,Year,Electoral Democracy Index
Argentina,1960,0.25
Argentina,1977,0.00
Argentina,1985,1.00
Argentina,1990,1.00
Argentina,1991,1.00
Argentina,1992,1.00
Argentina,1993,1.00
Argentina,1994,1.00
Argentina,1995,1.00
Argentina,1996,1.00
Argentina,1997,1.00
Argentina,1998,1.00
Argentina,1999,1.00
Argentina,2000,1.00
Argentina,2001,0.92
Argentina,2002,1.00
Argentina,2003,1.00
Argentina,2004,1.00
Argentina,2005,1.00
Bolivia,1960,1.00
Bolivia,1977,0.00
Bolivia,1985,0.75
Bolivia,1990,1.00
Bolivia,1991,1.00
Bolivia,1992,1.00
Bolivia,1993,1.00
Bolivia,1994,1.00
Bolivia,1995,1.00
Bolivia,1996,1.00
Bolivia,1997,1.00
Bolivia,1998,1.00
Bolivia,1999,1.00
Bolivia,2000,1.00
Bolivia,2001,1.00
Bolivia,2002,1.00
Bolivia,2003,0.75
Bolivia,2004,0.75
Bolivia,2005,0.75
Brazil,1960,0.69
Brazil,1977,0.26
Brazil,1985,0.40
Brazil,1990,1.00
Brazil,1991,1.00
Brazil,1992,1.00
Brazil,1993,1.00
Brazil,1994,1.00
Brazil,1995,1.00
Brazil,1996,1.00
Brazil,1997,1.00
Brazil,1998,1.00
Brazil,1999,1.00
Brazil,2000,1.00
Brazil,2001,1.00
Brazil,2002,1.00
Brazil,2003,1.00
Brazil,2004,1.00
Brazil,2005,1.00
Chile,1960,0.75
Chile,1977,0.00
Chile,1985,0.00
Chile,1990,0.75
Chile,1991,0.75
Chile,1992,0.75
Chile,1993,0.75
Chile,1994,0.75
Chile,1995,0.75
Chile,1996,0.75
Chile,1997,0.75
Chile,1998,0.75
Chile,1999,0.75
Chile,2000,0.75
Chile,2001,0.75
Chile,2002,0.75
Chile,2003,0.75
Chile,2004,0.75
Chile,2005,0.75
Colombia,1960,0.75
Colombia,1977,0.83
Colombia,1985,1.00
Colombia,1990,0.56
Colombia,1991,0.56
Colombia,1992,0.56
Colombia,1993,0.56
Colombia,1994,0.56
Colombia,1995,0.56
Colombia,1996,0.56
Colombia,1997,0.56
Colombia,1998,0.56
Colombia,1999,0.56
Colombia,2000,0.56
Colombia,2001,0.56
Colombia,2002,0.69
Colombia,2003,0.69
Colombia,2004,0.69
Colombia,2005,0.69
Costa Rica,1960,1.00
Costa Rica,1977,1.00
Costa Rica,1985,1.00
Costa Rica,1990,1.00
Costa Rica,1991,1.00
Costa Rica,1992,1.00
Costa Rica,1993,1.00
Costa Rica,1994,1.00
Costa Rica,1995,1.00
Costa Rica,1996,1.00
Costa Rica,1997,1.00
Costa Rica,1998,1.00
Costa Rica,1999,1.00
Costa Rica,2000,1.00
Costa Rica,2001,1.00
Costa Rica,2002,1.00
Costa Rica,2003,1.00
Costa Rica,2004,1.00
Costa Rica,2005,1.00
Dominican Republic,1960,0.08
Dominican Republic,1977,0.08
Dominican Republic,1985,1.00
Dominican Republic,1990,0.83
Dominican Republic,1991,0.83
Dominican Republic,1992,0.83
Dominican Republic,1993,0.83
Dominican Republic,1994,0.50
Dominican Republic,1995,0.50
Dominican Republic,1996,1.00
Dominican Republic,1997,1.00
Dominican Republic,1998,1.00
Dominican Republic,1999,1.00
Dominican Republic,2000,1.00
Dominican Republic,2001,1.00
Dominican Republic,2002,1.00
Dominican Republic,2003,1.00
Dominican Republic,2004,1.00
Dominican Republic,2005,1.00
Ecuador,1960,0.75
